city,province,region,mean_residents,degurba,collisions,fatalities,injuries,risk_score_equal
Origgio,VA,Lombardia,7995.5,2,108.0,9.0,182.0,0.8968836840015879
Surano,LE,Puglia,1514.75,2,39.0,2.0,81.0,0.8597459309249702
Paruzzaro,NO,Piemonte,2149.25,2,47.0,2.0,75.0,0.8569472012703454
Santo Stefano al Mare,IM,Liguria,2006.5,2,41.0,4.0,57.0,0.8566891623660182
Noventa di Piave,VE,Veneto,6981.25,2,96.0,11.0,155.0,0.8473005160778087
Campogalliano,MO,Emilia-Romagna,8545.5,2,178.0,10.0,279.0,0.8354505756252482
Gambellara,VI,Veneto,3439.75,2,56.0,3.0,94.0,0.825228265184597
Montebello della Battaglia,PV,Lombardia,1451.75,3,49.0,3.0,79.0,0.8252084160381103
Altare,SV,Liguria,1926.75,3,47.0,2.0,80.0,0.8244541484716158
Rivoli Veronese,VR,Veneto,2246.5,3,56.0,4.0,89.0,0.8228662167526797
San Cesareo,RM,Lazio,16140.0,2,194.0,9.0,321.0,0.8165740373163954
Bovalino,RC,Calabria,8672.5,2,96.0,6.0,195.0,0.8132790789996031
Vignole Borbera,AL,Piemonte,2040.75,2,34.0,2.0,54.0,0.811750694720127
Rezzato,BS,Lombardia,13433.0,2,264.0,9.0,382.0,0.8044263596665344
Codevigo,PD,Veneto,6306.75,3,121.0,11.0,222.0,0.8022231044065106
Valmontone,RM,Lazio,15672.25,2,218.0,9.0,371.0,0.8011115522032553
Solarolo,RA,Emilia-Romagna,4404.5,3,106.0,4.0,167.0,0.7894005557761017
Eboli,SA,Campania,37573.5,2,552.0,25.0,908.0,0.7892814608971814
Capaccio Paestum,SA,Campania,22352.25,3,497.0,19.0,769.0,0.7885867407701469
Quarto d'Altino,VE,Veneto,8030.25,2,100.0,7.0,160.0,0.7837236998809051
