city,province,region,mean_residents,degurba,collisions,fatalities,injuries,risk_score_frequency_heavy
Santo Stefano al Mare,IM,Liguria,2006.5,2,41.0,4.0,57.0,0.8873362445414847
Origgio,VA,Lombardia,7995.5,2,108.0,9.0,182.0,0.8783445811830091
Paruzzaro,NO,Piemonte,2149.25,2,47.0,2.0,75.0,0.872882096069869
Rezzato,BS,Lombardia,13433.0,2,264.0,9.0,382.0,0.8527233028979754
Vietri sul Mare,SA,Campania,7138.25,2,151.0,4.0,221.0,0.8425565700674871
Surano,LE,Puglia,1514.75,2,39.0,2.0,81.0,0.8388328701865819
Campogalliano,MO,Emilia-Romagna,8545.5,2,178.0,10.0,279.0,0.8271139341008337
Taormina,ME,Sicilia,10488.0,2,178.0,7.0,246.0,0.8239777689559349
Chiesina Uzzanese,PT,Toscana,4505.5,2,93.0,4.0,122.0,0.8230131004366811
Garlate,LC,Lombardia,2635.5,2,51.0,2.0,67.0,0.8220365224295354
Altare,SV,Liguria,1926.75,3,47.0,2.0,80.0,0.8139261611750694
Noventa di Piave,VE,Veneto,6981.25,2,96.0,11.0,155.0,0.8104843191742754
Porto Recanati,MC,Marche,12445.5,2,197.0,6.0,289.0,0.8101349741961095
Pescate,LC,Lombardia,2152.75,2,82.0,0.0,130.0,0.8082334259626835
Aci Castello,CT,Sicilia,17830.75,2,228.0,7.0,332.0,0.8074593092497022
Maiori,SA,Campania,5326.0,2,122.0,4.0,172.0,0.8048233425962683
Vezzano Ligure,SP,Liguria,7191.75,2,164.0,4.0,237.0,0.8033584755855498
Pedaso,FM,Marche,2843.5,2,40.0,1.0,69.0,0.8027471218737593
Pero,MI,Lombardia,11658.0,1,200.0,5.0,262.0,0.800349344978166
San Cesareo,RM,Lazio,16140.0,2,194.0,9.0,321.0,0.8003056768558952
