city,province,region,mean_residents,degurba,collisions,fatalities,injuries,risk_score_severity_heavy
Origgio,VA,Lombardia,7995.5,2,108.0,9.0,182.0,0.9154227868201666
Noventa di Piave,VE,Veneto,6981.25,2,96.0,11.0,155.0,0.8841167129813419
Surano,LE,Puglia,1514.75,2,39.0,2.0,81.0,0.8806589916633585
Codevigo,PD,Veneto,6306.75,3,121.0,11.0,222.0,0.8688050813815006
Bovalino,RC,Calabria,8672.5,2,96.0,6.0,195.0,0.8661016276300119
Rivoli Veronese,VR,Veneto,2246.5,3,56.0,4.0,89.0,0.8530845573640333
Montebello della Battaglia,PV,Lombardia,1451.75,3,49.0,3.0,79.0,0.8521556173084557
Gambellara,VI,Veneto,3439.75,2,56.0,3.0,94.0,0.8513100436681221
Bolognetta,PA,Sicilia,4105.75,3,48.0,7.0,91.0,0.8510321556173084
Tarsia,CS,Calabria,1839.75,3,33.0,6.0,61.0,0.8470901151250496
Campogalliano,MO,Emilia-Romagna,8545.5,2,178.0,10.0,279.0,0.8437872171496626
Paruzzaro,NO,Piemonte,2149.25,2,47.0,2.0,75.0,0.8410123064708217
Alice Castello,VC,Piemonte,2501.0,3,36.0,3.0,63.0,0.837959507741167
Vignole Borbera,AL,Piemonte,2040.75,2,34.0,2.0,54.0,0.8363318777292575
Altare,SV,Liguria,1926.75,3,47.0,2.0,80.0,0.8349821357681619
Mignano Monte Lungo,CE,Campania,2999.75,3,44.0,4.0,119.0,0.8344898769352918
San Cesareo,RM,Lazio,16140.0,2,194.0,9.0,321.0,0.8328423977768955
Quarto d'Altino,VE,Veneto,8030.25,2,100.0,7.0,160.0,0.8308376339817386
Carinaro,CE,Campania,7098.25,1,53.0,4.0,91.0,0.8287534736006351
Villa Santa Lucia,FR,Lazio,2489.75,3,37.0,2.0,67.0,0.8266137356093688
