Codice Ripartizione geografica;Codice Regione;Codice Provincia/Uts;Codice Comune (alfanumerico);Codice Comune (numerico);Comune;Comune (dizione straniera);Sigla automobilistica;Capoluogo di Provincia/Uts;Capoluogo di Regione;Popolazione legale;Anno Censimento;Superficie (Kmq);Anno (Superficie);Popolazione residente;Anno (Popolazione residente)
1;01;001;001001;1001;Agliè;;TO;0;0;2644;2011;13,1462;2011;2657;2011
1;01;001;001002;1002;Airasca;;TO;0;0;3819;2011;15,7393;2011;3858;2011
1;01;001;001003;1003;Ala di Stura;;TO;0;0;462;2011;46,3315;2011;472;2011
1;01;001;001004;1004;Albiano d'Ivrea;;TO;0;0;1791;2011;11,7314;2011;1807;2011
1;01;001;001005;1005;Alice Superiore;;TO;0;0;701;2011;7,3796;2011;700;2011
1;01;001;001006;1006;Almese;;TO;0;0;6303;2011;17,8756;2011;6346;2011
1;01;001;001007;1007;Alpette;;TO;0;0;277;2011;5,6261;2011;278;2011
1;01;001;001008;1008;Alpignano;;TO;0;0;16893;2011;11,9193;2011;17067;2011
1;01;001;001009;1009;Andezeno;;TO;0;0;1966;2011;7,4860;2011;2003;2011
1;01;001;001010;1010;Andrate;;TO;0;0;512;2011;9,3085;2011;521;2011
1;01;001;001011;1011;Angrogna;;TO;0;0;870;2011;38,8782;2011;873;2011
1;01;001;001012;1012;Arignano;;TO;0;0;1039;2011;8,1668;2011;1067;2011
1;01;001;001013;1013;Avigliana;;TO;0;0;12129;2011;23,2172;2011;12256;2011
1;01;001;001014;1014;Azeglio;;TO;0;0;1347;2011;9,9605;2011;1347;2011
1;01;001;001015;1015;Bairo;;TO;0;0;816;2011;7,0859;2011;822;2011
1;01;001;001016;1016;Balangero;;TO;0;0;3161;2011;13,0063;2011;3178;2011
1;01;001;001017;1017;Baldissero Canavese;;TO;0;0;534;2011;4,5064;2011;528;2011
1;01;001;001018;1018;Baldissero Torinese;;TO;0;0;3783;2011;15,4054;2011;3812;2011
1;01;001;001019;1019;Balme;;TO;0;0;95;2011;62,7105;2011;101;2011
1;01;001;001020;1020;Banchette;;TO;0;0;3280;2011;2,0289;2011;3300;2011
1;01;001;001021;1021;Barbania;;TO;0;0;1623;2011;12,8027;2011;1638;2011
1;01;001;001022;1022;Bardonecchia;;TO;0;0;3212;2011;132,2030;2011;3253;2011
1;01;001;001023;1023;Barone Canavese;;TO;0;0;599;2011;3,9864;2011;599;2011
1;01;001;001024;1024;Beinasco;;TO;0;0;18104;2011;6,7343;2011;18143;2011
1;01;001;001025;1025;Bibiana;;TO;0;0;3376;2011;18,5979;2011;3422;2011
1;01;001;001026;1026;Bobbio Pellice;;TO;0;0;566;2011;94,0819;2011;572;2011
1;01;001;001027;1027;Bollengo;;TO;0;0;2112;2011;14,2234;2011;2103;2011
1;01;001;001028;1028;Borgaro Torinese;;TO;0;0;13620;2011;14,3261;2011;13604;2011
1;01;001;001029;1029;Borgiallo;;TO;0;0;550;2011;6,9648;2011;554;2011
1;01;001;001030;1030;Borgofranco d'Ivrea;;TO;0;0;3643;2011;13,4189;2011;3710;2011
1;01;001;001031;1031;Borgomasino;;TO;0;0;835;2011;12,3712;2011;840;2011
1;01;001;001032;1032;Borgone Susa;;TO;0;0;2320;2011;4,9617;2011;2327;2011
1;01;001;001033;1033;Bosconero;;TO;0;0;3056;2011;10,9190;2011;3060;2011
1;01;001;001034;1034;Brandizzo;;TO;0;0;8402;2011;6,2914;2011;8448;2011
1;01;001;001035;1035;Bricherasio;;TO;0;0;4517;2011;22,7585;2011;4543;2011
1;01;001;001036;1036;Brosso;;TO;0;0;460;2011;11,1350;2011;459;2011
1;01;001;001037;1037;Brozolo;;TO;0;0;471;2011;8,9504;2011;478;2011
1;01;001;001038;1038;Bruino;;TO;0;0;8479;2011;5,5701;2011;8551;2011
1;01;001;001039;1039;Brusasco;;TO;0;0;1726;2011;14,3592;2011;1733;2011
