Codice Ripartizione geografica;Codice Regione;Codice Provincia (Storico);Codice Provincia/Uts;Codice Comune (alfanumerico);Codice Comune (numerico);Comune;Comune (dizione straniera);Sigla automobilistica;Capoluogo di Provincia/Uts;Capoluogo di Regione;Popolazione legale;Anno Censimento;Superficie (Kmq);Anno (Superficie);Popolazione residente;Anno (Popolazione residente)
1;01;001;201;001001;1001;Agliè;;TO;0;0;2644;2011;13,1462;2016;2661;2016
1;01;001;201;001002;1002;Airasca;;TO;0;0;3819;2011;15,7393;2016;3726;2016
1;01;001;201;001003;1003;Ala di Stura;;TO;0;0;462;2011;46,3315;2016;460;2016
1;01;001;201;001004;1004;Albiano d'Ivrea;;TO;0;0;1791;2011;11,7314;2016;1701;2016
1;01;001;201;001005;1005;Alice Superiore;;TO;0;0;701;2011;7,3796;2016;716;2016
1;01;001;201;001006;1006;Almese;;TO;0;0;6303;2011;17,8756;2016;6407;2016
1;01;001;201;001007;1007;Alpette;;TO;0;0;277;2011;5,6261;2016;255;2016
1;01;001;201;001008;1008;Alpignano;;TO;0;0;16893;2011;11,9193;2016;17447;2016
1;01;001;201;001009;1009;Andezeno;;TO;0;0;1966;2011;7,4860;2016;2002;2016
1;01;001;201;001010;1010;Andrate;;TO;0;0;512;2011;9,3085;2016;501;2016
1;01;001;201;001011;1011;Angrogna;;TO;0;0;870;2011;38,8782;2016;886;2016
1;01;001;201;001012;1012;Arignano;;TO;0;0;1039;2011;8,1668;2016;1071;2016
1;01;001;201;001013;1013;Avigliana;;TO;0;0;12129;2011;23,2172;2016;12446;2016
1;01;001;201;001014;1014;Azeglio;;TO;0;0;1347;2011;9,9605;2016;1301;2016
1;01;001;201;001015;1015;Bairo;;TO;0;0;816;2011;7,0859;2016;787;2016
1;01;001;201;001016;1016;Balangero;;TO;0;0;3161;2011;13,0063;2016;3183;2016
1;01;001;201;001017;1017;Baldissero Canavese;;TO;0;0;534;2011;4,5064;2016;544;2016
1;01;001;201;001018;1018;Baldissero Torinese;;TO;0;0;3783;2011;15,4054;2016;3721;2016
1;01;001;201;001019;1019;Balme;;TO;0;0;95;2011;62,7105;2016;110;2016
1;01;001;201;001020;1020;Banchette;;TO;0;0;3280;2011;2,0289;2016;3212;2016
1;01;001;201;001021;1021;Barbania;;TO;0;0;1623;2011;12,8027;2016;1578;2016
1;01;001;201;001022;1022;Bardonecchia;;TO;0;0;3212;2011;132,2030;2016;3157;2016
1;01;001;201;001023;1023;Barone Canavese;;TO;0;0;599;2011;3,9864;2016;587;2016
1;01;001;201;001024;1024;Beinasco;;TO;0;0;18104;2011;6,7343;2016;18104;2016
1;01;001;201;001025;1025;Bibiana;;TO;0;0;3376;2011;18,5979;2016;3460;2016
1;01;001;201;001026;1026;Bobbio Pellice;;TO;0;0;566;2011;94,0819;2016;566;2016
1;01;001;201;001027;1027;Bollengo;;TO;0;0;2112;2011;14,2234;2016;2139;2016
1;01;001;201;001028;1028;Borgaro Torinese;;TO;0;0;13620;2011;14,3261;2016;13520;2016
1;01;001;201;001029;1029;Borgiallo;;TO;0;0;550;2011;6,9648;2016;582;2016
1;01;001;201;001030;1030;Borgofranco d'Ivrea;;TO;0;0;3643;2011;13,4189;2016;3686;2016
1;01;001;201;001031;1031;Borgomasino;;TO;0;0;835;2011;12,3712;2016;788;2016
1;01;001;201;001032;1032;Borgone Susa;;TO;0;0;2320;2011;4,9617;2016;2202;2016
1;01;001;201;001033;1033;Bosconero;;TO;0;0;3056;2011;10,9190;2016;3135;2016
1;01;001;201;001034;1034;Brandizzo;;TO;0;0;8402;2011;6,2914;2016;8587;2016
1;01;001;201;001035;1035;Bricherasio;;TO;0;0;4517;2011;22,7585;2016;4646;2016
1;01;001;201;001036;1036;Brosso;;TO;0;0;460;2011;11,1350;2016;412;2016
1;01;001;201;001037;1037;Brozolo;;TO;0;0;471;2011;8,9504;2016;464;2016
1;01;001;201;001038;1038;Bruino;;TO;0;0;8479;2011;5,5701;2016;8566;2016
1;01;001;201;001039;1039;Brusasco;;TO;0;0;1726;2011;14,3592;2016;1607;2016
1;01;001;201;001040;1040;Bruzolo;;TO;0;0;1545;2011;12,5598;2016;1531;2016
1;01;001;201;001041;1041;Buriasco;;TO;0;0;1405;2011;14,6868;2016;1392;2016
1;01;001;201;001042;1042;Burolo;;TO;0;0;1228;2011;5,4760;2016;1190;2016
1;01;001;201;001043;1043;Busano;;TO;0;0;1588;2011;5,0591;2016;1650;2016
1;01;001;201;001044;1044;Bussoleno;;TO;0;0;6363;2011;37,0661;2016;6005;2016
1;01;001;201;001045;1045;Buttigliera Alta;;TO;0;0;6386;2011;8,0973;2016;6388;2016
1;01;001;201;001046;1046;Cafasse;;TO;0;0;3511;2011;10,2312;2016;3411;2016
1;01;001;201;001047;1047;Caluso;;TO;0;0;7483;2011;39,4925;2016;7452;2016
1;01;001;201;001048;1048;Cambiano;;TO;0;0;6215;2011;14,1314;2016;6095;2016
1;01;001;201;001049;1049;Campiglione Fenile;;TO;0;0;1382;2011;11,0863;2016;1354;2016
1;01;001;201;001050;1050;Candia Canavese;;TO;0;0;1286;2011;9,1318;2016;1235;2016
1;01;001;201;001051;1051;Candiolo;;TO;0;0;5566;2011;11,8499;2016;5638;2016
1;01;001;201;001052;1052;Canischio;;TO;0;0;294;2011;11,9505;2016;272;2016
1;01;001;201;001053;1053;Cantalupa;;TO;0;0;2527;2011;11,1953;2016;2557;2016
1;01;001;201;001054;1054;Cantoira;;TO;0;0;554;2011;23,0319;2016;573;2016
1;01;001;201;001055;1055;Caprie;;TO;0;0;2116;2011;16,4078;2016;2078;2016
1;01;001;201;001056;1056;Caravino;;TO;0;0;995;2011;11,5371;2016;927;2016
1;01;001;201;001057;1057;Carema;;TO;0;0;772;2011;10,2579;2016;798;2016
1;01;001;201;001058;1058;Carignano;;TO;0;0;9156;2011;50,6790;2016;9311;2016
1;01;001;201;001059;1059;Carmagnola;;TO;0;0;28563;2011;95,7148;2016;28778;2016
1;01;001;201;001060;1060;Casalborgone;;TO;0;0;1820;2011;20,1250;2016;1907;2016
1;01;001;201;001061;1061;Cascinette d'Ivrea;;TO;0;0;1491;2011;2,1726;2016;1540;2016
1;01;001;201;001062;1062;Caselette;;TO;0;0;2931;2011;14,3136;2016;3049;2016
1;01;001;201;001063;1063;Caselle Torinese;;TO;0;0;18299;2011;28,7115;2016;19153;2016
1;01;001;201;001064;1064;Castagneto Po;;TO;0;0;1791;2011;11,4732;2016;1796;2016
1;01;001;201;001065;1065;Castagnole Piemonte;;TO;0;0;2193;2011;17,2796;2016;2243;2016
1;01;001;201;001066;1066;Castellamonte;;TO;0;0;9917;2011;38,7063;2016;10004;2016
